area_type,availability,size,society,total_sqft,bath,balcony,site_location,price
Super built-up  Area,18-Feb,2 BHK,,1000,2,1,Shivaji Nagar,65.3
Super built-up  Area,Ready To Move,3 BHK,,1450,3,,Shukrawar Peth,77.41
Plot  Area,Ready To Move,5 Bedroom,,897,2,1,Sinhagad Road,85
Super built-up  Area,Ready To Move,2 BHK,GMentAp,936,2,2,Somwar Peth,43
Built-up  Area,Ready To Move,2 BHK,,1280,2,1,Swargate,75
Super built-up  Area,Ready To Move,2 BHK,,1050,2,3,Tilak Road,45
Super built-up  Area,Ready To Move,2 BHK,Asintas,1350,2,1,Uruli Devachi,86
Super built-up  Area,Ready To Move,2 BHK,GMilse ,1325,2,1,Vadgaon Budruk,70
Super built-up  Area,18-Apr,2 BHK,Oznuean,1174,2,1,Wadgaon Sheri,59
Super built-up  Area,Ready To Move,3 BHK,Saageat,1890,3,2,Viman Nagar,162
Super built-up  Area,Ready To Move,1 BHK,,735,1,1,Vishrant Wadi,75
Built-up  Area,Ready To Move,1 BHK,,500,1,0,Wagholi,24
Super built-up  Area,Ready To Move,3 BHK,,1304,3,3,Wakadewadi,80
Built-up  Area,Ready To Move,3 BHK,Niareum,1653,3,2,Wanowrie,120
Super built-up  Area,Ready To Move,3 BHK,Prityel,1075,2,1,Warje,52
Super built-up  Area,Ready To Move,2 BHK,Kaiew L,1212,3,1,Yerawada,42
Built-up  Area,Ready To Move,2 BHK,Mamesi ,1100,2,1,Alandi Road,50
Super built-up  Area,Ready To Move,4 BHK,PhestOn,3436,6,3,Ambegaon Budruk,500
Plot  Area,Ready To Move,3 Bedroom,,1200,4,0,Anandnagar,145
Super built-up  Area,Ready To Move,2 BHK,,1140,2,2,Aundh,50
Plot  Area,Ready To Move,2 Bedroom,,1200,2,1,Aundh Road,100
Super built-up  Area,Ready To Move,3 BHK,Srier P,1532,3,2,Balaji Nagar,83
Plot  Area,Ready To Move,3 Bedroom,Vahid O,2776,4,2,Baner,195
Super built-up  Area,Ready To Move,3 BHK,Naasyak,1531,2,0,Baner road,75
Super built-up  Area,Ready To Move,3 BHK,,1270,2,2,Bhandarkar Road,50.79
Super built-up  Area,18-Dec,2 BHK,DSera S,1325,2,1,Bhavani Peth,53
Plot  Area,Ready To Move,3 Bedroom,,1200,3,1,Bibvewadi,160
Super built-up  Area,17-Apr,3 BHK,Sie 2is,1156,2,2,Bopodi,44
Plot  Area,Ready To Move,4 Bedroom,,2000,4,2,Budhwar Peth,320
Super built-up  Area,Ready To Move,2 BHK,SNity S,1260,2,2,Bund Garden Road,70
Super built-up  Area,Ready To Move,2 BHK,Prlla C,1934,2,0,Camp,90
Super built-up  Area,Ready To Move,2 BHK,,1060,2,1,Chandan Nagar,40
Super built-up  Area,Ready To Move,3 BHK,HMonymp,1476,3,1,Dapodi,95
Super built-up  Area,Ready To Move,2 BHK,Rallaa ,1185,2,1,Deccan Gymkhana,85
Super built-up  Area,Ready To Move,3 BHK,Aconyit,1265,2,1,Dehu Road,82
Built-up  Area,18-May,4 BHK,,3200,5,1,Dhankawadi,150
Super built-up  Area,Ready To Move,2 BHK,,1196,2,2,Dhayari Phata,56.81
Built-up  Area,Ready To Move,2 BHK,,1280,2,1,Dhole Patil Road,69
Plot  Area,Ready To Move,4 Bedroom,,800,4,2,Erandwane,86
Built-up  Area,Ready To Move,2 BHK,VisicCl,1175,2,,Fatima Nagar,45
Built-up  Area,Ready To Move,3 BHK,,1850,3,3,Fergusson College Road,98
Plot  Area,Ready To Move,4 Bedroom,,2400,4,2,Ganesh Peth,525
Super built-up  Area,Ready To Move,2 BHK,Pae 1ov,1195,2,1,Ganeshkhind,70
Super built-up  Area,Ready To Move,3 BHK,,2000,3,3,Ghorpade Peth,185
Carpet  Area,Ready To Move,7 BHK,,600,4,0,Ghorpadi,100
Plot  Area,18-Feb,4 Bedroom,,800,5,3,Gokhale Nagar,155
Super built-up  Area,Ready To Move,2 BHK,Collsrn,1180,2,2,Gultekdi,36.5
Super built-up  Area,Ready To Move,2 BHK,Elidet ,1050,2,1,Guruwar peth,49.87
Built-up  Area,18-Dec,3 BHK,,1400,2,1,Hadapsar,40.44
Plot  Area,17-Dec,4 Bedroom,,2360,4,2,Hadapsar Industrial Estate,150
Super built-up  Area,Ready To Move,2 BHK,,1030,2,1,Hingne Khurd,77.25
Super built-up  Area,Ready To Move,2 BHK,,1512,1,2,Jangali Maharaj Road,65.01
Built-up  Area,Ready To Move,2 BHK,Prldsri,929,2,1,Kalyani Nagar,48
Super built-up  Area,Ready To Move,3 BHK,DLhtsen,1252,3,3,Karve Nagar,61
Built-up  Area,Ready To Move,3 BHK,Soionar,1485,3,2,Karve Road,115
Super built-up  Area,Ready To Move,3 BHK,Courf T,1124,2,2,Kasba Peth,55
Plot  Area,Ready To Move,6 Bedroom,,2400,6,3,Katraj,370
Built-up  Area,Ready To Move,3 BHK,,1407,3,1,Khadaki,120
Super built-up  Area,19-Mar,3 BHK,Puachal,1482,2,3,Khadki,97
Super built-up  Area,Ready To Move,2 BHK,,1163,2,1,Kharadi,98.86
Super built-up  Area,Ready To Move,3 BHK,BrardCo,1570,3,2,Kondhwa,140
Super built-up  Area,18-Feb,3 BHK,BrlisCo,3480,4,,Kondhwa Budruk,284
Super built-up  Area,19-Sep,1 BHK,SuVue S,520,1,1,Kondhwa Khurd,14.04
Super built-up  Area,Ready To Move,3 BHK,SoliaMa,2000,3,2,Koregaon Park,160
Super built-up  Area,Ready To Move,2 BHK,Prlmsge,1352,2,2,Kothrud,75
Super built-up  Area,18-Apr,2 BHK,Prarkun,1152,2,1,Law College Road,65
Built-up  Area,20-Dec,3 BHK,,1575,3,2,Laxmi Road,93
Super built-up  Area,Ready To Move,3 BHK,SoitaCa,1965,4,2,Lulla Nagar,125
Built-up  Area,Ready To Move,3 BHK,Siite E,1300,2,2,Mahatma Gandhi Road,70
Plot  Area,Ready To Move,4 Bedroom,,1,4,,Mangalwar peth,120
Super built-up  Area,18-Apr,2 BHK,,957,2,1,Manik Bagh,47
Super built-up  Area,Ready To Move,3 BHK,Thiced ,1740,3,3,Market yard,60
Plot  Area,Ready To Move,5 Bedroom,,1080,6,3,Model colony,65
Super built-up  Area,Ready To Move,2 BHK,,1060,2,0,Mukund Nagar,35
Carpet  Area,Ready To Move,2 BHK,,975,2,2,Mundhawa,50
Super built-up  Area,18-May,2 BHK,,1150,2,2,Nagar Road,51
Super built-up  Area,Ready To Move,3 BHK,,1738,2,3,Nana Peth,79
Super built-up  Area,18-May,3 BHK,,1250,3,2,Narayan Peth,55
Built-up  Area,Ready To Move,3 BHK,Dhncyud,1788,3,2,Narayangaon,90
Super built-up  Area,19-Dec,2 BHK,GoityEt,1151,2,1,Navi Peth,59
Super built-up  Area,Ready To Move,3 BHK,Evood S,1300,2,2,Padmavati,60
Super built-up  Area,Ready To Move,2 BHK,,1150,2,1,Parvati Darshan,52.8
Super built-up  Area,Ready To Move,2 BHK,,1380,2,1,Pashan,75
Super built-up  Area,19-Jun,3 BHK,Raard B,1645,3,2,Paud Road,117
Super built-up  Area,Ready To Move,2 BHK,,1141,2,1,Pirangut,45.9
Super built-up  Area,Ready To Move,2 BHK,BriumMi,1175,2,2,Prabhat Road,82.5
Super built-up  Area,Ready To Move,3 BHK,,1355,2,1,Pune Railway Station,61
Built-up  Area,Ready To Move,2 BHK,Syonyph,1150,2,0,Rasta Peth,70
Super built-up  Area,18-May,5 BHK,,5800,5,,Raviwar Peth,80
Built-up  Area,Ready To Move,2 BHK,,1000,2,2,Sadashiv Peth,45
Super built-up  Area,20-Jan,2 BHK,Soresea,1007,2,1,Sahakar Nagar,65
Super built-up  Area,Ready To Move,4 BHK,,3000,5,2,Salunke Vihar,100
Super built-up  Area,Ready To Move,3 BHK,,1436,3,3,Sasson Road,70
Super built-up  Area,Ready To Move,4 BHK,PueraRi,4000,4,3,Satara Road,220
Built-up  Area,Ready To Move,3 BHK,ManceEl,2372,3,,Senapati Bapat Road,140
Plot  Area,Ready To Move,6 Bedroom,,1500,6,,Shaniwar Peth,240
Super built-up  Area,18-Jan,3 BHK,,167Sq. Meter,3,2,Shivaji Nagar,10
Plot  Area,Ready To Move,2 Bedroom,,1200,2,0,Shukrawar Peth,150
Super built-up  Area,18-Mar,2 BHK,,1016,2,1,Sinhagad Road,58
Super built-up  Area,Ready To Move,2 BHK,,1100,2,2,Somwar Peth,48
Super built-up  Area,Ready To Move,2 BHK,PrncyRe,1080,2,1,Swargate,45
Super built-up  Area,Ready To Move,2 BHK,GMown E,1070,2,1,Tilak Road,60
Super built-up  Area,Ready To Move,3 BHK,PrpiaSr,1532,3,1,Uruli Devachi,115
Super built-up  Area,Ready To Move,2 BHK,MDncyhi,1040,2,2,Vadgaon Budruk,42.12
Plot  Area,Ready To Move,3 Bedroom,Pudgear,3100,3,3,Wadgaon Sheri,250
Super built-up  Area,21-Jun,2 BHK,Coowsri,1076 - 1199,2,0,Viman Nagar,48.905
Super built-up  Area,Ready To Move,3 BHK,MenueNo,1430,2,2,Vishrant Wadi,51.6
Plot  Area,Ready To Move,2 Bedroom,,1160,1,0,Wagholi,163
Super built-up  Area,Ready To Move,4 BHK,,3262,5,2,Wakadewadi,205
Plot  Area,Ready To Move,7 Bedroom,,2100,7,0,Wanowrie,410
Built-up  Area,Ready To Move,2 BHK,,1190,2,2,Warje,100
Super built-up  Area,Ready To Move,3 BHK,SApusnu,1827,3,3,Yerawada,100
Super built-up  Area,Ready To Move,2 BHK,Srayatr,1210,2,1,Alandi Road,75
Super built-up  Area,Ready To Move,3 BHK,Srmitev,1500,3,3,Ambegaon Budruk,95
Super built-up  Area,Ready To Move,2 BHK,,1050,2,2,Anandnagar,53.5
Super built-up  Area,21-Mar,2 BHK,Oztarol,1251,2,1,Aundh,88.73
Super built-up  Area,Ready To Move,3 BHK,RotatHa,1600,2,2,Aundh Road,115
Super built-up  Area,18-Apr,2 BHK,Prarkun,1128,2,1,Balaji Nagar,65.5
Super built-up  Area,Ready To Move,3 BHK,PrityTr,1820,3,2,Baner,93
Super built-up  Area,Ready To Move,3 BHK,Prtanha,2072,4,2,Baner road,159
Super built-up  Area,Ready To Move,3 BHK,Dehts H,1510,2,3,Bhandarkar Road,59
Super built-up  Area,Ready To Move,3 BHK,SMaxyay,1925,2,3,Bhavani Peth,114
Plot  Area,Ready To Move,3 Bedroom,LGapeon,2651,2,2,Bibvewadi,225
Super built-up  Area,Ready To Move,3 BHK,Prtanha,2072,4,2,Bopodi,147
Super built-up  Area,Ready To Move,2 BHK,GancyRe,1000,2,2,Budhwar Peth,36
Plot  Area,Ready To Move,3 Bedroom,Salle F,1752,3,2,Bund Garden Road,145
Super built-up  Area,Ready To Move,2 BHK,ArrdsOr,960,2,3,Camp,56
Super built-up  Area,Ready To Move,2 BHK,Vaw 2il,1180,2,2,Chandan Nagar,63
Built-up  Area,Ready To Move,3 BHK,Fants A,2270,3,1,Dapodi,180
Built-up  Area,Ready To Move,2 Bedroom,,650,2,0,Deccan Gymkhana,59
Super built-up  Area,Ready To Move,2 BHK,,1200,2,1,Dehu Road,75
Super built-up  Area,Ready To Move,3 BHK,Prityel,1180,2,1,Dhankawadi,46
Super built-up  Area,18-Jan,3 BHK,,1300,3,2,Dhayari Phata,47
Built-up  Area,Ready To Move,2 BHK,,1157,2,0,Dhole Patil Road,40
Super built-up  Area,21-Jan,3 BHK,PrarePa,1300,3,2,Erandwane,69
Super built-up  Area,Ready To Move,3 BHK,Pridsi ,1305,2,1,Fatima Nagar,59
Super built-up  Area,Ready To Move,3 BHK,SoisoCa,2006,4,2,Fergusson College Road,196
Super built-up  Area,Ready To Move,2 BHK,BrdgeNo,1290,2,1,Ganesh Peth,80
Super built-up  Area,Ready To Move,2 BHK,VRrtsa ,1170,2,3,Ganeshkhind,45
Plot  Area,Ready To Move,4 Bedroom,,971,2,2,Ghorpade Peth,135
Super built-up  Area,Ready To Move,2 BHK,Coona A,1400,2,3,Ghorpadi,78
Super built-up  Area,Ready To Move,2 BHK,RothaVa,1200,2,2,Gokhale Nagar,75
Built-up  Area,Ready To Move,3 BHK,Viaxy G,1155,2,0,Gultekdi,60
Built-up  Area,Ready To Move,3 BHK,Cadel C,1725,3,2,Guruwar peth,85
Super built-up  Area,21-Oct,2 BHK,PrarePa,700,2,1,Hadapsar,40
Built-up  Area,Ready To Move,4 Bedroom,Epllan ,7000,5,,Hadapsar Industrial Estate,2050
Super built-up  Area,22-Jun,2 BHK,GoAirej,1112,2,1,Hingne Khurd,88
Super built-up  Area,Ready To Move,2 BHK,ManceEl,1178,2,,Jangali Maharaj Road,78
Super built-up  Area,20-Jan,2 BHK,DNncasa,1274,2,1,Kalyani Nagar,81
Super built-up  Area,Ready To Move,2 BHK,Vabow R,915,2,1,Karve Nagar,32
Plot  Area,Ready To Move,8 Bedroom,,1650,6,2,Karve Road,135
Super built-up  Area,Ready To Move,1 BHK,Collsrn,760,1,2,Kasba Peth,21.28
Built-up  Area,Ready To Move,3 BHK,ArnzaFi,1540,3,2,Katraj,68
Super built-up  Area,Ready To Move,2 BHK,,1206,2,3,Khadaki,38.5
Super built-up  Area,Ready To Move,3 BHK,Itala A,1645,3,2,Khadki,95
Plot  Area,Ready To Move,4 Bedroom,,1200,4,2,Kharadi,170
Plot  Area,Ready To Move,4 Bedroom,,1200,4,1,Kondhwa,140
Super built-up  Area,Ready To Move,4 BHK,Undge T,2342,3,2,Kondhwa Budruk,115
Super built-up  Area,Ready To Move,3 BHK,,1200,2,1,Kondhwa Khurd,55
Super built-up  Area,Ready To Move,2 BHK,MDoseim,1056,2,2,Koregaon Park,33
Plot  Area,Ready To Move,8 Bedroom,,4800,8,,Kothrud,225
Super built-up  Area,Ready To Move,3 BHK,,1450,3,3,Law College Road,54.3
Super built-up  Area,18-Apr,2 BHK,MNtha A,1161,2,2,Laxmi Road,36.69
Super built-up  Area,Ready To Move,2 BHK,Koowsis,1097,2,3,Lulla Nagar,65
Built-up  Area,Ready To Move,2 BHK,Gaent R,850,2,2,Mahatma Gandhi Road,35
Super built-up  Area,Ready To Move,3 BHK,Soionar,1715,3,2,Mangalwar peth,115
Super built-up  Area,Ready To Move,3 BHK,Shntsad,2300,3,,Manik Bagh,317
Super built-up  Area,Ready To Move,2 BHK,GMown E,1200,2,1,Market yard,59
Super built-up  Area,18-Oct,2 BHK,,1080,2,2,Model colony,38
Super built-up  Area,Ready To Move,2 BHK,,1200,2,1,Mukund Nagar,50.3
Plot  Area,Ready To Move,4 Bedroom,,2400,4,0,Mundhawa,550
Super built-up  Area,Ready To Move,3 BHK,Sriseva,1400,2,1,Nagar Road,78
Plot  Area,Ready To Move,4 Bedroom,Vastael,1500,4,3,Nana Peth,200
Carpet  Area,20-Dec,1 BHK,Roiti A,381 - 535,1,0,Narayan Peth,19.695
Super built-up  Area,Ready To Move,2 BHK,,1230,2,1,Narayangaon,57
Built-up  Area,Ready To Move,3 BHK,SSonsvi,1640,3,3,Navi Peth,88
Super built-up  Area,Ready To Move,3 BHK,Bregae ,1700,3,2,Padmavati,125
Super built-up  Area,Ready To Move,3 BHK,Niara S,1478,2,,Parvati Darshan,44
Super built-up  Area,Ready To Move,4 BHK,Masta A,6600,4,,Pashan,986
Super built-up  Area,Ready To Move,2 BHK,,1020,2,2,Paud Road,40.79
Plot  Area,Ready To Move,2 Bedroom,,1200,2,1,Pirangut,150
Built-up  Area,Ready To Move,3 BHK,,1275,2,2,Prabhat Road,95
Built-up  Area,Ready To Move,4 Bedroom,,1600,3,1,Pune Railway Station,165
Super built-up  Area,Ready To Move,2 BHK,SPavenc,1110,2,2,Rasta Peth,38.85
Super built-up  Area,Ready To Move,3 BHK,Baveles,1627.86,3,2,Raviwar Peth,88
Built-up  Area,Ready To Move,2 BHK,VBavaai,620,2,1,Sadashiv Peth,22
Plot  Area,Ready To Move,4 Bedroom,Prrry M,3004,4,2,Sahakar Nagar,285
Super built-up  Area,18-May,2 BHK,Pamesy ,1133,2,1,Salunke Vihar,52
Super built-up  Area,Ready To Move,2 BHK,Gaodsch,1182,2,2,Sasson Road,82.5
Super built-up  Area,Ready To Move,3 BHK,SosonGa,1500,3,3,Satara Road,100
Super built-up  Area,Ready To Move,4 BHK,GonumPl,3900,5,,Senapati Bapat Road,360
Super built-up  Area,Ready To Move,2 BHK,Srconor,1200,2,2,Shaniwar Peth,58
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1128,2,1,Shivaji Nagar,48.79
Super built-up  Area,Ready To Move,3 BHK,Sariaat,2215 - 2475,,,Shukrawar Peth,293
Built-up  Area,Ready To Move,2 BHK,,900,2,2,Sinhagad Road,110
Built-up  Area,Ready To Move,2 BHK,NCondia,1100,2,1,Somwar Peth,45
Super built-up  Area,Ready To Move,2 BHK,Mameser,635,1,1,Swargate,22
Super built-up  Area,Ready To Move,4 BHK,AWharde,2062,3,,Tilak Road,140
Built-up  Area,Ready To Move,3 BHK,G conTh,1874,4,1,Uruli Devachi,130
Plot  Area,18-Apr,4 Bedroom,,600,3,2,Vadgaon Budruk,78
Super built-up  Area,18-Jun,2 BHK,Saesttt,1171,2,2,Wadgaon Sheri,75
Super built-up  Area,Ready To Move,3 BHK,,2020,3,3,Viman Nagar,85
Super built-up  Area,18-Jan,2 BHK,,1059,2,2,Vishrant Wadi,34.5
Super built-up  Area,Ready To Move,3 BHK,Saite G,1315,2,1,Wagholi,59.1
Super built-up  Area,Ready To Move,3 BHK,BrdgeNo,1760,3,2,Wakadewadi,110
Built-up  Area,Ready To Move,2 Bedroom,,1200,2,1,Wanowrie,125
Super built-up  Area,Ready To Move,3 BHK,Koagati,1192,2,1,Warje,62
Super built-up  Area,19-Jun,3 BHK,Raard B,1645,3,2,Yerawada,121
Super built-up  Area,Ready To Move,2 BHK,Veales ,1250,2,2,Alandi Road,72
Super built-up  Area,19-Dec,1 BHK,Oreldhi,524 - 894,1,0,Ambegaon Budruk,34.385
Super built-up  Area,Ready To Move,2 BHK,,1340,2,1,Anandnagar,77
Built-up  Area,Ready To Move,3 BHK,,2388,4,3,Aundh,239
Super built-up  Area,18-Jun,2 BHK,Sosisic,1369.1,2,1,Aundh Road,104
Super built-up  Area,Ready To Move,2 BHK,,1355,2,3,Balaji Nagar,75
Built-up  Area,Ready To Move,2 BHK,,1150,2,2,Baner,65
Super built-up  Area,19-Dec,3 BHK,GoityEt,1938,3,3,Baner road,113
Super built-up  Area,19-Jun,4 BHK,,2462,4,3,Bhandarkar Road,124
Super built-up  Area,Ready To Move,3 BHK,PrityTr,1636,3,2,Bhavani Peth,85
Super built-up  Area,Ready To Move,3 BHK,DLhtsnd,1430,2,2,Bibvewadi,75
Super built-up  Area,Ready To Move,3 BHK,,2000,3,2,Bopodi,85
Carpet  Area,18-May,3 BHK,MJtroty,993,2,2,Budhwar Peth,50
Plot  Area,Ready To Move,4 Bedroom,,1260,4,1,Bund Garden Road,150
Super built-up  Area,Ready To Move,3 BHK,,1700,3,3,Camp,88
Super built-up  Area,Ready To Move,2 BHK,Shana S,1270,2,2,Chandan Nagar,78
Plot  Area,18-Apr,3 Bedroom,,1500,3,1,Dapodi,121
Built-up  Area,Ready To Move,3 BHK,,2300,3,3,Deccan Gymkhana,290
Plot  Area,18-Mar,4 Bedroom,EmardBo,7500,4,2,Dehu Road,900
Super built-up  Area,Ready To Move,3 BHK,,1650,3,3,Dhankawadi,86.45
Super built-up  Area,Ready To Move,2 BHK,Suriaa ,1109,2,1,Dhayari Phata,63
Super built-up  Area,Ready To Move,2 BHK,Metrais,1280,2,1,Dhole Patil Road,49.75
Built-up  Area,Ready To Move,4 Bedroom,,2885,3,1,Erandwane,185
Plot  Area,Ready To Move,9 Bedroom,,1200,9,1,Fatima Nagar,145
Plot  Area,Ready To Move,3 Bedroom,Prowser,1600,3,2,Fergusson College Road,180
Super built-up  Area,Ready To Move,3 BHK,,1462,3,3,Ganesh Peth,71
Super built-up  Area,19-Mar,1 BHK,Unezes ,607,1,1,Ganeshkhind,35
Super built-up  Area,Ready To Move,2 BHK,,930,2,0,Ghorpade Peth,25
Plot  Area,17-Nov,4 Bedroom,,4500,5,2,Ghorpadi,300
Plot  Area,Ready To Move,5 Bedroom,,1200,5,,Gokhale Nagar,160
Super built-up  Area,Ready To Move,3 BHK,,2600,3,1,Gultekdi,237
Super built-up  Area,Ready To Move,4 BHK,,3000,4,2,Guruwar peth,140
Super built-up  Area,18-May,3 BHK,Coomee ,1418,3,2,Hadapsar,52.47
Built-up  Area,Ready To Move,2 Bedroom,,4200,1,2,Hadapsar Industrial Estate,160
Built-up  Area,Ready To Move,2 BHK,ValiaCa,1125,2,1,Hingne Khurd,65
Super built-up  Area,Ready To Move,3 BHK,Pu270a ,1825,3,2,Jangali Maharaj Road,126
Super built-up  Area,Ready To Move,2 BHK,Veales ,1320,2,3,Kalyani Nagar,79.5
Built-up  Area,Ready To Move,4 Bedroom,,3000,4,2,Karve Nagar,140
Super built-up  Area,Ready To Move,3 BHK,MamalPr,1490,2,2,Karve Road,300
Plot  Area,Ready To Move,4 Bedroom,,1650,3,1,Kasba Peth,300
Super built-up  Area,20-Dec,2 BHK,Oreldhi,750,2,1,Katraj,52.7
Super built-up  Area,19-Dec,3 BHK,Masser ,1400,2,2,Khadaki,80.54
Super built-up  Area,Ready To Move,4 BHK,Prowshi,4104,4,3,Khadki,360
Built-up  Area,Ready To Move,4 BHK,,5000,4,0,Kharadi,375
Plot  Area,Ready To Move,5 Bedroom,,3295,4,2,Kondhwa,260
Plot  Area,Ready To Move,4 Bedroom,,1150,3,1,Kondhwa Budruk,110
Plot  Area,18-Jul,3 Bedroom,,1200,3,1,Kondhwa Khurd,61.96
Built-up  Area,Ready To Move,2 BHK,Pathira,965,2,2,Koregaon Park,48
Plot  Area,Ready To Move,1 Bedroom,,812,1,1,Kothrud,26
Super built-up  Area,Ready To Move,2 BHK,HovasTe,1100,2,2,Law College Road,43
Super built-up  Area,Ready To Move,2 BHK,SSthamh,1180,2,2,Laxmi Road,41
Super built-up  Area,Ready To Move,2 BHK,NRosete,1145,2,2,Lulla Nagar,48
Super built-up  Area,Ready To Move,2 BHK,,1027,2,1,Mahatma Gandhi Road,44
Super built-up  Area,18-Apr,2 BHK,,1215,2,2,Mangalwar peth,49.85
Plot  Area,Ready To Move,2 Bedroom,,1200,2,0,Manik Bagh,75
Super built-up  Area,Ready To Move,2 BHK,AriosPa,1015,2,2,Market yard,58
Plot  Area,18-May,3 Bedroom,AxvamTa,2400,3,1,Model colony,165
Plot  Area,Ready To Move,4 Bedroom,Prrry M,3000,4,3,Mukund Nagar,306
Built-up  Area,Ready To Move,3 Bedroom,,3300,4,3,Mundhawa,160
Super built-up  Area,Ready To Move,2 BHK,,1076,2,2,Nagar Road,52
Super built-up  Area,18-Dec,2 BHK,Shestut,1300,2,1,Nana Peth,109
Built-up  Area,Ready To Move,2 BHK,Goateds,1300,2,2,Narayan Peth,102
Super built-up  Area,19-Jun,3 BHK,Sosisic,1512,3,1,Narayangaon,123
Carpet  Area,18-Dec,3 BHK,Rosha I,1053.4,3,1,Navi Peth,88.91
Super built-up  Area,Ready To Move,1 BHK,VSlistr,540 - 670,1,0,Padmavati,41.745
Super built-up  Area,Ready To Move,2 BHK,NStusD ,1153,2,1,Parvati Darshan,65
Plot  Area,Ready To Move,2 Bedroom,,2080,2,1,Pashan,150
Super built-up  Area,Ready To Move,2 BHK,RatosAr,1255,2,2,Paud Road,69
Built-up  Area,Ready To Move,4 BHK,,315Sq. Yards,5,,Pirangut,260
Super built-up  Area,Ready To Move,3 BHK,PueraRi,1583,3,3,Prabhat Road,109
Super built-up  Area,Ready To Move,2 BHK,Goourta,1505,2,2,Pune Railway Station,90
Super built-up  Area,Ready To Move,3 BHK,,1365,2,2,Rasta Peth,75.08
Plot  Area,Ready To Move,3 Bedroom,,1200,3,3,Raviwar Peth,95.75
Super built-up  Area,Ready To Move,3 BHK,IDldsin,1810,4,3,Sadashiv Peth,148
Built-up  Area,Ready To Move,1 Bedroom,,440,1,0,Sahakar Nagar,35
Super built-up  Area,Ready To Move,2 BHK,Mayne A,975,2,1,Salunke Vihar,63
Super built-up  Area,Ready To Move,2 BHK,,1250,2,3,Sasson Road,39
Super built-up  Area,Ready To Move,3 BHK,MJarlPe,1530,2,1,Satara Road,97
Super built-up  Area,Ready To Move,3 BHK,DSdorSp,1300,2,2,Senapati Bapat Road,39
Super built-up  Area,Ready To Move,2 BHK,,1115,2,1,Shaniwar Peth,40
Super built-up  Area,Ready To Move,2 BHK,SJityaz,1308,2,1,Shivaji Nagar,83
Super built-up  Area,Ready To Move,2 BHK,Peide L,1194,2,2,Shukrawar Peth,47
Super built-up  Area,Ready To Move,3 BHK,,1490,2,2,Sinhagad Road,59.6
Plot  Area,Ready To Move,4 Bedroom,,10000,4,0,Somwar Peth,450
Super built-up  Area,19-Apr,3 BHK,Brareio,1592,3,1,Swargate,91
Super built-up  Area,18-Jun,2 BHK,Puwerun,1222,2,0,Tilak Road,112
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1267,2,2,Uruli Devachi,42.85
Super built-up  Area,Ready To Move,1 BHK,Soresea,656,1,1,Vadgaon Budruk,53
Plot  Area,Ready To Move,4 Bedroom,Adstah ,3400,4,3,Wadgaon Sheri,530
Built-up  Area,Ready To Move,4 BHK,NatanNi,4500,5,,Viman Nagar,400
Plot  Area,18-Nov,2 Bedroom,,1200,1,1,Vishrant Wadi,36
Super built-up  Area,Ready To Move,3 BHK,Soitya ,1698,3,2,Wagholi,102
Built-up  Area,Ready To Move,3 BHK,Karchru,1500,3,2,Wakadewadi,70
Plot  Area,Ready To Move,4 Bedroom,,2000,5,0,Wanowrie,80
Super built-up  Area,18-Mar,2 BHK,Prarkun,1152,2,1,Warje,65.75
Super built-up  Area,Ready To Move,1 BHK,,550,1,0,Yerawada,21
Super built-up  Area,Ready To Move,2 BHK,ShaleSp,900,2,2,Alandi Road,42
Super built-up  Area,18-Mar,3 BHK,,1410,2,2,Ambegaon Budruk,45.12
Built-up  Area,Ready To Move,3 BHK,DLhtsnd,1419,2,3,Anandnagar,73
Super built-up  Area,Ready To Move,2 BHK,,1200,2,1,Aundh,55
Super built-up  Area,Ready To Move,3 BHK,,1800,3,3,Aundh Road,65
Super built-up  Area,Ready To Move,2 BHK,Drente ,990,2,1,Balaji Nagar,40
Super built-up  Area,Ready To Move,2 BHK,,1016,2,1,Baner,45
Super built-up  Area,Ready To Move,2 BHK,Saavenc,1100,2,0,Baner road,39
Built-up  Area,Ready To Move,4 BHK,,850,2,1,Bhandarkar Road,65
Super built-up  Area,Ready To Move,2 BHK,Rabow R,1095,2,1,Bhavani Peth,35
Super built-up  Area,Ready To Move,3 BHK,,2000,3,2,Bibvewadi,85
Super built-up  Area,Ready To Move,2 BHK,PrityTr,1444,2,2,Bopodi,70
Super built-up  Area,Ready To Move,2 BHK,Nillsre,1415,2,3,Budhwar Peth,67
Plot  Area,Ready To Move,3 Bedroom,,1500,2,1,Bund Garden Road,130
Super built-up  Area,Ready To Move,3 BHK,InockHo,1600,3,3,Camp,72
Super built-up  Area,Ready To Move,2 BHK,SMuilan,1105,2,1,Chandan Nagar,41.36
Super built-up  Area,18-Dec,3 BHK,S2oveat,1225,3,0,Dapodi,45.03
Super built-up  Area,Ready To Move,3 BHK,Prook M,2560,3,2,Deccan Gymkhana,265
Super built-up  Area,Ready To Move,2 BHK,,1080,2,1,Dehu Road,37.8
Plot  Area,Ready To Move,7 Bedroom,,2400,3,3,Dhankawadi,150
Super built-up  Area,18-Aug,3 BHK,Sodgere,1856,3,2,Dhayari Phata,135
Super built-up  Area,Ready To Move,3 BHK,NRowse ,1464,3,2,Dhole Patil Road,56
